14	303	127
24	320	134
34	339	142
46	360	150
56	379	158
66	398	166
77	423	173
88	447	181
98	466	188
108	492	195
119	517	201
130	538	207
140	563	213
151	587	219
161	611	224
172	633	229
183	656	234
193	678	238
203	699	241
215	720	245
225	739	247
235	759	250
246	776	251
257	793	252
267	809	253
278	822	254
288	836	253
300	847	252
310	858	251
320	867	250
331	873	247
342	880	245
352	884	241
363	887	238
373	887	234
384	888	229
395	886	224
405	882	219
415	874	213
427	869	207
437	863	201
447	847	195
458	841	188
468	830	181
479	810	173
490	800	166
500	785	158
510	762	150
522	747	142
532	728	134
542	702	126
553	685	119
564	660	111
574	635	103
585	617	95
595	589	87
606	562	80
616	541	72
627	514	65
637	487	58
648	460	52
659	438	46
669	412	40
679	386	34
690	366	29
701	338	24
711	315	19
721	291	15
733	270	12
743	249	8
753	228	6
763	209	3
775	191	2
785	174	1
795	158	0
805	143	0
817	129	0
827	117	1
837	107	2
847	98	3
859	90	6
869	84	8
879	80	12
889	77	15
900	76	19
911	76	24
921	78	29
931	81	34
942	90	40
953	93	46
963	101	52
973	110	58
985	126	65
995	134	72
1005	147	80
1015	165	87
1027	179	95
1037	195	103
1048	218	111
1058	235	119
1069	254	127
1080	281	134
1090	299	142
1100	324	150
1112	350	158
1122	370	166
1133	398	173
1143	424	181
1154	444	188
1165	474	195
1175	501	201
1185	524	207
1197	550	213
1207	572	219
1218	599	224
1228	624	229
1239	643	234
1250	669	238
1260	692	241
1270	713	245
1282	734	247
1292	753	250
1303	771	251
1313	789	252
1324	804	253
1335	819	254
1345	832	253
1355	845	252
1367	855	251
1377	864	250
1388	872	247
1398	877	245
1409	879	241
1420	885	238
1430	886	234
1440	886	229
1452	884	224
1462	881	219
1473	876	213
1483	869	207
1494	859	201
1505	851	195
1515	841	188
1525	827	181
1537	815	173
1547	794	166
1558	783	158
1568	763	150
1579	744	142
1590	728	134
1600	702	126
1610	683	119
1622	659	111
1632	633	103
1643	616	95
1653	587	87
1664	561	80
1675	542	72
1685	511	65
1695	486	58
1707	462	52
1717	435	46
1727	410	40
1738	386	34
1748	361	29
1759	337	24
1770	314	19
1780	291	15
1790	269	12
1802	248	8
1812	227	6
1822	208	3
1832	190	2
1844	173	1
1854	157	0
1864	142	0
1875	129	0
1886	117	1
1896	107	2
1906	97	3
1917	90	6
1928	84	8
1938	79	12
1948	77	15
1959	75	19
1970	75	24
1980	79	29
1991	81	34
2001	86	40
2012	92	46
2023	102	52
2033	111	58
2043	121	65
2054	137	72
2065	148	80
2075	162	87
2085	182	95
2097	197	103
2107	214	111
2118	238	119
2128	256	127
2139	279	134
2150	304	142
2160	322	150
2170	349	158
2182	375	166
2192	394	173
2203	423	181
2213	449	188
2224	473	195
2235	500	201
2245	523	207
2255	549	213
2267	575	219
2277	596	224
2288	623	229
2298	648	234
2309	669	238
2320	692	241
2330	714	245
2340	733	247
2352	753	250
2362	771	251
2373	789	252
2383	805	253
2394	819	254
2405	833	253
2415	844	252
2426	855	251
2437	864	250
2447	871	247
2458	878	245
2468	882	241
2479	885	238
2490	886	234
2500	886	229
2511	884	224
2522	881	219
2532	872	213
2543	869	207
2553	862	201
2564	851	195
2575	841	188
2585	824	181
2596	814	173
2607	801	166
2617	778	158
2628	766	150
2638	743	142
2649	725	134
2660	707	126
2670	679	119
2681	661	111
2692	636	103
2702	612	95
2713	592	87
2723	562	80
2734	536	72
2745	513	65
2755	486	58
2765	460	52
2777	436	46
2787	410	40
2797	385	34
2808	362	29
2819	337	24
2829	313	19
2840	291	15
2850	269	12
2861	248	8
2872	227	6
2882	208	3
2892	190	2
2903	173	1
2914	157	0
2924	142	0
2934	129	0
2946	117	1
2956	106	2
2966	97	3
2976	90	6
2988	84	8
2998	79	12
3008	76	15
3018	76	19
3030	76	24
3040	77	29
3050	83	34
3061	86	40
3072	93	46
3082	100	52
3093	112	58
3103	121	65
3113	133	72
3125	151	80
3135	163	87
3145	178	95
3156	199	103
3167	215	111
3177	233	119
